c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001023;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BARONE CANAVESE;NULL;010;204;TO;A673 ;150
001024;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BEINASCO;NULL;010;105;TO;A734 ;150
001024;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BEINASCO;NULL;010;203;TO;A734 ;150
001025;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BIBIANA;NULL;010;110;TO;A853 ;150
001025;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BIBIANA;NULL;010;203;TO;A853 ;150
001026;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BOBBIO PELLICE;NULL;010;110;TO;A910 ;150
001026;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BOBBIO PELLICE;NULL;010;203;TO;A910 ;150
001027;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BOLLENGO;NULL;010;109;TO;A941 ;150
001027;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BOLLENGO;NULL;010;204;TO;A941 ;150
001028;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BORGARO TORINESE;NULL;010;106;TO;A990 ;150
001028;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BORGARO TORINESE;NULL;010;204;TO;A990 ;150
001029;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BORGIALLO;NULL;010;109;TO;B003 ;150
001029;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BORGIALLO;NULL;010;204;TO;B003 ;150
001030;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BORGOFRANCO D'IVREA;NULL;010;109;TO;B015 ;150
001030;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BORGOFRANCO D'IVREA;NULL;010;204;TO;B015 ;150
001031;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BORGOMASINO;NULL;010;109;TO;B021 ;150
001031;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BORGOMASINO;NULL;010;204;TO;B021 ;150
001032;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;BORGONE SUSA;NULL;010;105;TO;B024 ;150
001032;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;BORGONE SUSA;NULL;010;203;TO;B024 ;150
